url,object_id,name,title,popularity,votes,verified,description,stack_count,type,category,layer,function
https://stackshare.io/javascript,Service_1209,JavaScript,"Lightweight, interpreted, object-oriented language with first-class functions",795541.3,8043,False,"JavaScript is most known as the scripting language for Web pages, but used in many non-browser environments as well such as node.js or Apache CouchDB. It is a prototype-based, multi-paradigm scripting language that is dynamic,and supports object-oriented, imperative, and functional programming styles. ",34264,service,languages-and-frameworks,application and data,languages
https://stackshare.io/github,Service_27,GitHub,"Powerful collaboration, review, and code management for open source and private development projects",651426.1,10335,True,"GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. Over three million people use GitHub to build amazing things together.",12486,service,build-test-deploy,devops,code-collaboration-version-control
https://stackshare.io/git,Service_1046,Git,"Fast, scalable, distributed revision control system",621815.4,6590,False,Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency.,40755,service,build-test-deploy,devops,version-control-system
https://stackshare.io/python,Service_993,Python,"A clear and powerful object-oriented programming language, comparable to Perl, Ruby, Scheme, or Java.",554873.9,6807,False,"Python is a general purpose programming language created by Guido Van Rossum. Python is most praised for its elegant syntax and readable code, if you are just beginning your programming career python suits you best.",20066,service,languages-and-frameworks,application and data,languages
https://stackshare.io/nodejs,Service_1011,Node.js,"A platform built on Chrome's JavaScript runtime for easily building fast, scalable network applications",434746.9,8535,False,"Node.js uses an event-driven, non-blocking I/O model that makes it lightweight and efficient, perfect for data-intensive real-time applications that run across distributed devices.",16376,service,languages-and-frameworks,application and data,frameworks
https://stackshare.io/visual-studio-code,Service_4202,Visual Studio Code,"Build and debug modern web and cloud applications, by Microsoft",411508.0,2277,True,"Build and debug modern web and cloud applications. Code is free and available on your favorite platform - Linux, Mac OSX, and Windows.",6514,service,build-test-deploy,devops,text-editor
https://stackshare.io/docker,Service_586,Docker,Enterprise Container Platform for High-Velocity Innovation.,405054.6,3856,True,"The Docker Platform is the industry-leading container platform for continuous, high-velocity innovation, enabling organizations to seamlessly build and share any application — from legacy to what comes next  — and securely run them anywhere",25019,service,build-test-deploy,devops,virtual-machine-platforms-and-containers
https://stackshare.io/react,Service_1020,React,A JavaScript library for building user interfaces,387831.4,4055,False,"Lots of people use React as the V in MVC. Since React makes no assumptions about the rest of your technology stack, it's easy to try it out on a small feature in an existing project.",16228,service,libraries,application and data,javascript-ui-libraries
https://stackshare.io/html5,Service_2538,HTML5,5th major revision of the core language of the World Wide Web,334657.3,2233,False,"HTML5 is a core technology markup language of the Internet used for structuring and presenting content for the World Wide Web. As of October 2014 this is the final and complete fifth revision of the HTML standard of the World Wide Web Consortium (W3C). The previous version, HTML 4, was standardised in 1997.",7441,service,languages-and-frameworks,application and data,languages
https://stackshare.io/jquery,Service_1021,jQuery,"The Write Less, Do More, JavaScript Library.",323408.9,6556,False,jQuery is a cross-platform JavaScript library designed to simplify the client-side scripting of HTML.,110813,service,libraries,application and data,javascript-ui-libraries
